hypothesis,model,metric_key,metric,n,stat,value,source_file
H1,text-embedding-3-small,ratio_mean@1_mean,ratio_mean,1,mean,0.4099602027882996,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_mean@1_mean,ratio_mean,1,mean,0.4006030297728979,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_mean@1_mean,ratio_mean,1,mean,0.4280012234046116,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_mean@1_mean,ratio_mean,1,mean,0.388759566206208,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_mean@1_mean,ratio_mean,1,mean,0.4542845887431205,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_mean@1_mean,ratio_mean,1,mean,0.4071448538023995,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_mean@1_std,ratio_mean,1,std,0.148906469676282,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_mean@1_std,ratio_mean,1,std,0.148906469676282,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_mean@1_std,ratio_mean,1,std,0.1072833170123908,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_mean@1_std,ratio_mean,1,std,0.1465619114133041,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_mean@1_std,ratio_mean,1,std,0.1559803287338738,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_mean@1_std,ratio_mean,1,std,0.1058549721138963,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_mean@1_std,ratio_mean,1,std,0.1509110291548971,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_mean@1_std,ratio_mean,1,std,0.1033332306429255,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_mean@1_std,ratio_mean,1,std,0.228164052705823,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_mean@1_std,ratio_mean,1,std,0.1494583382615814,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_min@1_mean,ratio_min,1,mean,0.4369574581217274,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_min@1_mean,ratio_min,1,mean,0.4369574581217274,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_min@1_mean,ratio_min,1,mean,0.4105012234046116,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_min@1_mean,ratio_min,1,mean,0.4197838207333498,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_min@1_mean,ratio_min,1,mean,0.4099602027882996,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_min@1_mean,ratio_min,1,mean,0.4006030297728979,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_min@1_mean,ratio_min,1,mean,0.4280012234046116,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_min@1_mean,ratio_min,1,mean,0.388759566206208,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_min@1_mean,ratio_min,1,mean,0.4542845887431205,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_min@1_mean,ratio_min,1,mean,0.4071448538023995,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_min@1_std,ratio_min,1,std,0.148906469676282,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_min@1_std,ratio_min,1,std,0.148906469676282,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_min@1_std,ratio_min,1,std,0.1072833170123908,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_min@1_std,ratio_min,1,std,0.1465619114133041,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_min@1_std,ratio_min,1,std,0.1559803287338738,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,multi-qa-MiniLM-L6-cos-v1,ratio_min@1_std,ratio_min,1,std,0.1058549721138963,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-MiniLM-L12-v2,ratio_min@1_std,ratio_min,1,std,0.1509110291548971,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,paraphrase-multilingual-MiniLM,ratio_min@1_std,ratio_min,1,std,0.1033332306429255,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,gemini-embedding,ratio_min@1_std,ratio_min,1,std,0.228164052705823,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,qwen3-embedding-8b,ratio_min@1_std,ratio_min,1,std,0.1494583382615814,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-mpnet-base-v2,ratio_max@2_mean,ratio_max,2,mean,0.5842242652096341,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-large,ratio_max@2_mean,ratio_max,2,mean,0.683862801773377,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L12-v2,ratio_max@2_mean,ratio_max,2,mean,0.4788741549173621,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,all-MiniLM-L6-v2,ratio_max@2_mean,ratio_max,2,mean,0.4361846662200793,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
H1,text-embedding-3-small,ratio_max@2_mean,ratio_max,2,mean,0.527351851172057,/home/romulo/Documentos/MAI-DAI-USP/embedding_models_eval/results/experimento2_h1_topn_real_ratio/comparacao_modelos_macro.csv
